id_raw,deComplemento,nuProcesso,dtEncaminhamentoFmt,sgOrgaoSetorOrigem,cdSistema,sgSetorAnterior,titulo,flRecusado,segDetalhamento,nuVolume,qtPagina,cdSetorAtual,nuProcessoOficial,vlUrgencia,flBloqueiaTrami,tramitacaoBloqueada,sgSetorAbertura,correspondencia,deAssunto,cdGrupoAssunto,key,cdAssunto,nuAno,digital,flPrazoProcesso,flTipoProcesso,flParecerTecnico,qtTramitacoesSetor,cdSistemaPrincipal,flPecaFisica,flSemRestricao,cdSetorAnterior,sgSetorAtual,size,dtEncaminhamento,numeroFormatado,cdOrgaoSetor,flProcedencia,cdUsuarioRecebto,nmUsuarioRecebto,dtRecebimento,cdUsuario,tags,deJsonTag,dtPrazoFmt,dtPrazo
1_2025_35434_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 5002708900
Número do Auto de Infração: 29389/2023
Número do Processo: PMDI 26488/2023

CONFORME REQUERIMENTO ANEXO SOLICITA REVISÃO DO VALOR COBRADO REFERENTE AO ISS CONSTRUÇÃO CIVIL PMDI 26488/2023.",35434,27/01/2026,SF-312,64,SF-22,PMDI 00035434/2025 Vol. 1,0,1,1,0,178,35434,0,00000,False,,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2025_35434_1-1,215,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-27,PMDI 00035434/2025,1,E,GABRIEL.GOMES,GABRIEL ELUD ROCHA DA SILVA GOMES,2026-01-27,GABRIEL.GOMES,,,,
1_2025_35254_1-1,"[Presencial] CANCELAMENTO DE DÉBITOS (IMÓVEL, CMC OU CONTRIBUINTE GERAL)  
 Número da Inscrição: 3504602900

CANCELAMENTO DE DÉBITOS (IMÓVEL)  ISS CIVIL",35254,27/01/2026,SF-312,64,SF-22,PMDI 00035254/2025 Vol. 1,0,1,1,0,178,35254,0,00000,False,SF-312,False,"Cancelamento de Débitos (Imóvel, CMC ou Contribuinte Geral)",212,1_2025_35254_1-1,212,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-27,PMDI 00035254/2025,1,E,GABRIEL.GOMES,GABRIEL ELUD ROCHA DA SILVA GOMES,2026-01-27,GABRIEL.GOMES,,,,
1_2025_33060_1-1,"[PI] PROCEDIMENTO INTERNO 
Solicito abertura de procedimento interno para acompanhamento da dívida ativa do município.",33060,18/11/2025,SF-312,64,DIGITAL,PMDI 00033060/2025 Vol. 1,0,1,1,0,178,33060,0,00000,False,SF-312,False,Procedimento Interno,285,1_2025_33060_1-1,285,2025,True,N,D,N,1,64,N,S,29,SF-2,1,2025-11-18,PMDI 00033060/2025,1,I,SISTEMA,Usuário do sistema,2025-11-18,,,,,
1_2025_19871_1-1,"[PI] PROCEDIMENTO INTERNO 
Solicito abertura de processo para a analise dos débitos suspenso no sistema e-ágata, acompanhamento de tratativas quanto ao levantamento de suspensão dos referidos débitos e providencias dos setores responsáveis pelo pedido de suspensão",19871,22/07/2025,SF-312,64,DIGITAL,PMDI 00019871/2025 Vol. 1,0,1,1,0,178,19871,0,00000,False,SF-312,False,Procedimento Interno,285,1_2025_19871_1-1,285,2025,True,N,D,N,1,64,N,S,29,SF-2,1,2025-07-22,PMDI 00019871/2025,1,I,SISTEMA,Usuário do sistema,2025-07-22,,,,,
1_2025_19840_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 5001218100
Número do Auto de Infração: OF 891/2025
Número do Processo: PMDI 37779/2023

RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO - ISSQN CIVIL",19840,27/01/2026,SF-312,64,SF-22,PMDI 00019840/2025 Vol. 1,0,1,1,0,178,19840,0,00000,False,SF-312,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2025_19840_1-1,215,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-27,PMDI 00019840/2025,1,E,JANAINA.MACEDO,Janaina de Cassia Santos de Macedo,2026-01-30,,"<div class=""div-tag-AVISO""><span class=""span-tag-AVISO"">Assinatura pendente</span></div>","[{""tipo"":""AVISO"",""texto"":""Assinatura pendente""}]",,
1_2025_19782_1-1,"[Presencial] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Imobiliária (IPTU): 5001404300
Número do Auto de Infração: OF911/2025
Número do Processo: PMDI /202337777

RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO - ISS CIV",19782,27/01/2026,SF-312,64,SF-22,PMDI 00019782/2025 Vol. 1,0,1,1,0,178,19782,0,00000,False,SF-312,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2025_19782_1-1,215,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-27,PMDI 00019782/2025,1,E,GABRIEL.GOMES,GABRIEL ELUD ROCHA DA SILVA GOMES,2026-01-27,GABRIEL.GOMES,,,,
1_2025_19506_1-1,"[Portal] RECURSO DE AUTO DE INFRAÇÃO OU IMPUGNAÇÃO DE LANÇAMENTO
Inscrição Mobiliária (CCM): 91048
Número do Auto de Infração: 158888, 158890, 158891, 158889, 158892, 158893
Número do Processo: 14514/2025

Prezado Sr Julgador,
A empresa requerente, ora impugnante, não se conformando com os autos de infrações imputados, e c/c exclusão do Simples nacional, vem com o devido acatamento, apresentar no prazo legal, a competente impugnação face aos AIIM¿s lavrados pela r. autoridade fiscal deste Município.

NT
PD",19506,28/01/2026,SF-312,64,SF-22,PMDI 00019506/2025 Vol. 1,0,1,1,0,178,19506,0,00000,False,SF-312,False,Recurso de Auto de Infração ou Impugnação de Lançamento,215,1_2025_19506_1-1,215,2025,True,N,D,N,1,64,N,S,264,SF-2,1,2026-01-28,PMDI 00019506/2025,1,E,JANAINA.MACEDO,Janaina de Cassia Santos de Macedo,2026-01-30,,"<div class=""div-tag-AVISO""><span class=""span-tag-AVISO"">Assinatura pendente</span></div>","[{""tipo"":""AVISO"",""texto"":""Assinatura pendente""}]",,
1_2025_12845_1-1,"LEVANTAMENTO FISCAL (Processo Interno)

Solicito abertura de processo interno- EQUIPE ASSISTÊNCIA MÉDICA LTDA ¿ CNPJ 14.074.423/0001-60",12845,24/07/2025,SF-312,64,SF-11,PMDI 00012845/2025 Vol. 1,1,1,1,0,178,12845,0,00000,False,SF-312,False,Levantamento Fiscal,348,1_2025_12845_1-1,348,2025,True,N,D,N,2,64,N,N,261,SF-2,1,2025-07-24,PMDI 00012845/2025,1,I,JANAINA.MACEDO,Janaina de Cassia Santos de Macedo,2025-07-24,,,,,
1_2025_5501_1-1,PROCEDIMENTO INTERNO(Processo Interno): Averiguação das inscrições imobiliárias constantes como IPTU Territorial,5501,05/02/2026,SF-312,64,SF-21,PMDI 00005501/2025 Vol. 1,0,1,1,0,178,5501,0,00000,False,SF-312,False,Procedimento Interno,285,1_2025_5501_1-1,285,2025,True,N,D,N,3,64,N,S,263,SF-2,1,2026-02-05,PMDI 00005501/2025,1,I,VANESSAF.SILVA,Vanessa Ferreira Da Silva,2026-02-09,,,,,
1_2024_32631_1-1,"DESCONTO PARA EMPRESAS QUE COMPROVEM O AUMENTO DO VALOR ADICIONADO  (Portal)  
 Inscrição Mobiliária: 79862 * Inscrição Imobiliária: 000003506700700.

Solicitamos o Desconto de IPTU/ 2025 para a empresa CHEMEN INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA - CNPJ: 05.465.894/0001-09N - CMC: 79862 - e Inscrição Imobiliaria 00000.35.067.007.00",32631,17/03/2026,SEDET,64,SF-21,PMDI 00032631/2024 Vol. 1,0,1,1,0,178,32631,0,00000,False,SEDET,False,Desconto Para Empresas Que Comprovem O Aumento Do Valor Adicionado,402,1_2024_32631_1-1,402,2024,True,N,D,N,1,64,N,S,263,SF-2,1,2026-03-17,PMDI 00032631/2024,1,E,,,,,,,22/03/2026,2026-03-22
1_2024_31916_1-1,"CID - ATUALIZAÇÃO DE PROJETO E NOVOS INVESTIMENTOS  (Portal)  
 Nº Processo CID: 37935/2023 - Inscrição Mobiliária: undefined - Inscrição Imobiliária: 000003405004900.

Prezados
Solicitamos a Atualização de Certificado de Incentivo ao Desenvolvimento (CID)para redução do IPTU e da TLF 2025, considerando os investimentos da empresa para incentivo à economia do Município para as inscrições Imobiliárias:00000.34.050.049.00/00000.34.050.050.00/00000.34.050.36.00, não foi possível incluir as três Inscrições Imobiliárias no campo &quot;Número da Inscrição Imobiliária(IPTU)&quot;",31916,03/03/2026,SEDET,64,SF,PMDI 00031916/2024 Vol. 1,0,1,1,0,178,31916,0,00000,False,SEDET,False,CID - Atualização De Projetos E Novos Investimentos,29,1_2024_31916_1-1,29,2024,True,N,D,N,2,64,N,S,56,SF-2,1,2026-03-03,PMDI 00031916/2024,1,E,VANESSAF.SILVA,Vanessa Ferreira Da Silva,2026-03-03,,,,,
1_2023_36288_1-1,"DESPESA PAGAMENTO (Processo Interno) 

Pagamentos à Empresa AEQUUS CONSULTORIA ECONÔMICA E SISTEMAS S/S LTDA - BI.    CONTRATAÇÃO DE EMPRESA PARA FORNECIMENTO DE FERRAMENTA GERENCIAL PARA ACOMPANHAMENTO E PLANEJAMENTO FINANCEIRO E TRIBUTÁRIO, oriundo do Processo de Compras nº. 022/2023.",36288,13/03/2026,SF-312,64,SF,PMDI 0040814/2023 Vol. 1,0,1,1,0,178,40814,0,00000,False,SF-312,False,Despesa / Pagamento,332,1_2023_36288_1-1,332,2023,True,N,D,N,14,64,N,S,56,SF-2,1,2026-03-13,PMDI 0040814/2023,1,I,VANESSAF.SILVA,Vanessa Ferreira Da Silva,2026-03-16,,,,,
